index,middle,ring,pinky
801,829,764,359
801,828,764,357
800,831,765,359
800,830,762,360
801,831,765,356
800,828,761,360
799,831,763,358
801,827,765,357
800,827,761,360
801,831,765,357
801,828,765,357
799,830,762,359
801,832,766,356
801,829,764,358
801,829,764,358
801,829,764,358
801,828,764,358
800,832,764,358
802,830,767,356
801,827,763,360
799,829,761,361
800,832,764,358
802,829,766,356
801,827,762,359
800,831,762,360
800,828,765,357
800,828,761,361
802,829,767,355
802,827,764,358
800,830,761,360
800,831,765,357
801,830,764,358
800,829,764,358
801,828,764,358
801,829,764,358
801,829,764,358
801,830,764,358
801,830,764,357
800,829,764,359
800,829,764,358
800,830,764,358
801,829,764,358
801,829,763,359
801,829,763,358
800,830,762,358
801,829,765,357
801,829,763,359
801,829,763,359
801,829,764,358
801,829,762,359
801,829,763,358
801,829,765,357
801,829,765,357
800,829,762,360
801,832,760,362
799,832,764,359
802,831,767,355
801,826,761,362
799,828,758,364
801,833,766,356
805,832,769,353
800,826,759,363
799,829,764,355
800,826,769,353
796,832,769,353
803,827,767,355
800,834,764,357
802,832,770,353
801,825,762,360
800,829,763,358
801,829,764,358
801,829,764,358
801,830,764,358
801,829,763,358
801,829,764,357
801,830,764,357
800,829,763,358
802,829,764,358
799,829,763,357
801,829,764,358
800,829,764,358
801,829,764,359
800,830,764,357
801,830,764,358
801,830,765,357
800,829,763,358
800,829,763,358
799,829,763,359
800,829,764,359
800,829,763,358
800,830,762,359
801,829,763,358
801,831,762,360
801,831,767,356
801,828,764,359
801,830,763,358
802,830,766,356
800,828,762,360
801,828,764,358
800,830,763,359
800,830,766,356
801,828,762,359
800,830,762,358
801,828,765,357
800,828,762,361
800,830,762,359
801,830,766,356
801,829,764,358
800,829,763,358
800,829,764,358
801,828,765,357
800,827,761,361
800,831,764,358
802,831,768,355
802,827,764,358
800,827,761,356
801,830,767,355
801,830,762,358
802,827,764,358
800,827,760,360
800,827,762,360
802,828,761,361
801,832,765,357
800,827,761,361
800,832,765,356
801,829,764,358
801,829,763,358
801,829,764,357
801,829,764,358
801,831,764,358
801,829,764,358
801,829,764,358
801,829,764,358
800,829,763,358
800,829,764,358
801,829,764,358
800,829,763,358
801,829,763,358
800,829,763,358
801,828,762,359
800,828,765,357
800,828,763,359
801,828,764,357
801,828,763,358
800,829,763,359
800,830,763,357
802,830,765,358
801,830,765,357
800,829,764,358
800,830,761,361
800,825,759,362
798,828,759,362
802,827,762,359
802,833,769,353
801,825,762,361
799,827,758,364
799,826,764,358
799,833,769,354
798,828,758,363
801,833,766,356
802,829,770,353
800,833,768,355
802,830,770,353
800,826,759,363
800,829,764,358
800,829,764,358
801,829,764,357
801,829,763,358
800,829,764,358
801,829,763,359
801,829,764,358
800,829,764,358
800,829,765,358
800,829,764,357
800,830,764,357
801,829,764,359
802,829,764,358
801,829,764,359
801,830,764,357
800,829,763,359
801,829,763,358
800,830,763,358
801,828,764,358
800,829,763,358
801,829,764,357
801,829,764,357
801,831,766,356
801,827,764,358
801,828,765,358
801,831,766,356
802,828,765,357
802,830,766,356
801,828,763,359
800,830,761,360
800,828,762,360
800,830,762,359
802,829,765,357
800,827,765,356
801,828,763,359
799,830,762,361
,,,,
800,825,762,359
800,825,763,357
800,823,763,357
799,830,760,359
802,827,768,353
800,830,766,354
802,827,759,362
799,825,765,356
800,824,763,357
800,828,766,361
801,826,762,359
800,827,762,358
800,826,761,358
800,826,763,357
800,826,763,358
800,826,762,358
800,826,763,358
800,827,762,358
800,826,762,358
803,826,763,358
800,826,762,358
800,826,762,358
801,826,762,358
800,826,762,358
800,826,763,358
800,826,763,358
801,826,762,358
801,826,762,357
800,826,763,358
800,827,762,358
800,826,762,358
800,826,762,357
800,826,763,359
800,826,762,358
800,826,763,358
800,826,762,358
799,826,762,359
801,826,762,358
801,826,763,358
800,826,762,358
800,827,763,359
801,826,763,359
800,826,764,359
800,825,762,358
800,826,762,358
800,827,762,359
800,826,761,358
800,826,761,358
800,826,763,358
800,826,762,358
800,827,763,358
801,827,761,358
800,826,764,358
800,827,763,359
800,826,762,358
800,827,763,357
801,826,761,357
801,826,762,358
801,826,763,358
800,826,762,358
800,826,762,358
800,826,762,358
800,826,761,358
800,827,761,358
802,828,768,353
801,821,762,361
802,830,768,352
799,827,768,353
799,829,762,359
800,828,765,354
802,824,764,356
799,823,759,362
800,829,762,358
801,822,760,361
799,822,764,358
800,830,763,356
802,826,767,353
800,823,755,363
800,822,763,358
801,826,762,359
801,827,763,358
801,826,763,359
800,826,761,358
800,826,763,359
801,826,762,358
800,826,762,358
800,824,761,358
800,824,761,359
800,826,765,356
801,826,764,356
801,827,763,359
801,827,764,356
800,827,766,354
802,825,766,362
802,825,766,355
800,822,758,363
799,823,763,358
801,824,759,361
800,826,760,355
801,827,762,358
800,825,762,359
802,827,759,355
799,825,765,361
800,828,762,357
801,826,763,359
800,827,763,358
801,826,762,358
800,826,762,358
800,826,762,358
800,826,762,359
800,828,761,358
801,826,762,358
800,826,763,358
801,825,762,358
800,826,763,358
800,826,762,358
800,826,762,358
800,826,762,359
800,826,762,358
801,826,762,358
800,825,763,358
801,826,762,358
801,826,762,358
800,825,762,359
801,826,762,358
800,826,762,358
800,826,763,358
801,825,762,358
800,827,762,358
800,825,762,358
800,826,762,358
799,826,763,358
801,826,763,358
800,826,762,357
800,826,763,358
800,826,763,357
800,828,764,358
801,826,762,357
800,826,763,359
801,826,762,357
800,826,762,357
800,826,762,358
801,826,761,358
801,826,763,359
800,826,761,358
800,826,762,358
800,827,762,358
800,826,763,358
800,826,763,357
801,825,762,358
800,826,762,357
800,826,762,358
800,826,762,358
800,826,762,359
800,826,762,358
800,826,762,358
800,826,762,358
802,826,760,360
802,827,767,363
802,823,766,357
799,828,762,359
798,827,758,354
802,823,762,358
802,826,766,363
799,827,758,361
801,825,757,355
798,826,758,362
800,830,766,355
799,823,756,363
802,823,766,354
801,831,765,357
802,827,759,354
801,826,762,358
