index,middle,ring,pinky
701,730,787,822
705,733,781,826
706,733,781,822
700,730,790,819
702,731,787,822
702,731,786,822
703,731,786,822
703,731,787,822
703,731,787,822
702,731,786,822
703,731,787,821
703,731,786,822
704,731,787,821
703,731,787,822
702,731,786,822
703,731,786,821
703,730,786,821
702,731,787,822
703,732,787,822
702,731,786,821
703,731,787,822
702,731,788,821
704,731,785,823
701,730,788,821
704,731,785,823
702,730,788,820
702,731,786,821
704,731,785,823
703,731,785,822
701,731,787,821
704,732,784,824
704,730,786,821
701,731,786,822
703,732,784,823
701,730,789,819
701,730,789,819
700,730,789,819
705,732,782,824
702,729,790,818
701,730,788,819
702,732,786,823
703,733,782,825
705,733,782,825
703,730,789,820
702,730,789,819
702,731,786,822
703,732,784,825
705,731,785,823
701,730,788,820
701,730,789,820
703,732,783,824
702,731,786,822
702,730,786,822
702,731,786,821
703,731,786,822
702,731,786,822
702,731,785,821
703,731,786,822
702,730,786,821
702,731,786,821
702,731,785,822
702,731,786,822
703,731,785,821
703,730,786,820
702,731,786,821
703,731,787,822
702,731,786,822
703,731,785,822
702,731,786,821
702,731,786,822
702,731,786,821
701,731,788,821
703,731,786,822
703,730,787,822
702,730,787,820
702,731,786,822
703,731,785,821
702,731,786,821
702,730,785,822
702,730,786,821
702,731,786,821
702,731,787,821
701,732,785,823
701,728,791,818
700,730,789,821
702,733,782,824
705,733,781,825
704,730,786,821
700,730,789,818
702,732,785,822
704,733,781,825
705,727,789,819
702,728,789,818
703,734,783,824
702,733,782,824
704,731,786,822
701,731,788,820
703,731,786,822
702,731,786,821
702,731,786,821
702,731,786,821
703,731,786,822
703,731,786,821
702,731,786,821
703,730,786,821
703,731,786,821
702,731,786,821
703,731,785,822
702,730,786,821
702,731,786,821
702,731,786,822
703,730,786,820
703,730,786,821
702,730,786,822
702,730,787,821
703,731,784,823
703,730,788,820
701,730,787,820
703,732,783,823
703,730,786,821
702,730,788,822
702,731,786,822
703,732,784,823
702,730,788,820
702,732,784,823
701,730,788,820
701,730,787,820
704,732,784,822
701,730,787,820
703,730,787,820
703,733,782,824
704,732,783,824
705,730,787,821
702,729,788,819
701,731,786,820
703,732,786,820
703,730,787,821
703,730,786,820
702,733,784,822
702,732,784,823
702,730,789,819
701,729,788,821
704,731,783,823
703,730,785,822
702,729,788,819
703,731,786,821
703,731,786,821
702,731,786,821
702,731,785,821
702,731,786,821
702,731,786,822
702,730,786,821
702,731,785,821
702,731,786,822
702,731,786,822
702,730,787,821
702,730,785,821
703,731,786,821
703,731,786,821
