index,middle,ring,pinky
694,354,368,363
694,355,368,363
694,354,369,364
694,355,369,363
695,355,369,364
694,355,368,364
694,354,368,363
694,355,369,363
694,354,369,363
694,355,368,363
696,356,372,360
696,357,364,367
696,352,373,360
692,352,375,357
692,353,373,359
692,357,366,366
693,356,368,363
697,356,367,365
691,354,370,362
694,352,375,358
693,357,363,366
696,357,365,365
697,355,367,364
693,352,373,359
691,352,374,359
693,354,369,363
694,355,369,363
694,355,368,364
693,355,369,363
694,355,368,363
694,355,369,363
694,355,369,363
694,355,369,363
694,355,369,363
694,354,369,363
694,354,369,363
694,355,369,362
694,355,369,363
694,355,370,363
694,354,369,363
694,355,369,363
694,355,369,363
694,355,368,364
694,355,369,362
694,354,370,363
694,355,369,363
694,355,369,364
694,355,369,362
694,354,369,363
694,355,369,363
693,355,369,363
694,355,368,364
694,355,368,364
694,354,369,362
695,354,370,364
693,355,369,362
694,355,369,363
695,355,369,363
693,356,367,364
695,355,368,365
693,353,372,361
694,355,370,362
693,355,367,364
694,354,372,361
693,356,368,365
693,355,370,363
694,356,366,366
697,355,366,366
696,356,368,365
694,355,367,365
693,355,368,364
694,356,366,365
695,354,370,362
695,356,366,367
695,356,367,365
695,354,368,365
694,352,372,360
693,354,372,360
694,353,372,360
696,355,366,366
695,356,366,367
693,353,372,360
694,355,369,363
694,355,369,363
694,354,369,363
694,354,370,364
694,354,369,363
694,355,369,363
694,354,368,363
693,355,369,363
694,355,369,363
694,355,368,363
694,354,369,364
694,354,369,363
694,355,368,363
694,355,369,363
694,355,368,363
694,354,369,363
694,355,369,363
694,355,369,363
694,355,369,363
694,355,369,363
694,354,369,362
692,355,370,361
691,356,368,362
696,353,372,360
692,352,374,358
692,355,369,363
694,357,364,366
697,355,364,366
692,352,374,358
692,355,368,361
694,358,363,368
697,357,363,365
697,355,369,365
692,355,369,364
692,355,369,362
696,356,365,367
695,355,368,363
694,355,369,362
693,355,369,362
694,354,369,364
694,355,369,363
694,355,369,363
693,354,369,363
694,354,369,364
695,354,369,363
694,355,368,363
694,354,369,363
694,354,369,363
694,355,369,363
694,355,369,363
693,354,368,363
694,355,369,363
694,354,369,363
693,355,369,364
693,355,368,363
694,356,369,362
694,355,369,362
694,355,368,363
695,355,368,365
694,355,367,364
694,354,370,362
694,354,369,363
694,354,370,362
694,354,369,363
694,355,369,364
693,355,369,363
694,355,369,363
694,354,369,363
693,355,369,363
694,355,368,364
693,354,369,364
695,356,366,365
695,354,371,362
693,353,370,362
695,356,366,366
694,354,371,361
693,355,370,362
692,354,369,362
696,355,366,365
693,354,371,360
694,355,367,364
695,356,366,365
696,355,367,365
694,356,367,365
696,356,365,367
695,353,370,361
693,354,371,360
694,356,366,365
695,356,365,366
695,353,370,362
694,353,372,365
692,354,372,360
693,355,369,363
694,355,369,362
694,354,370,363
693,355,369,363
694,354,369,363
