index,middle,ring,pinky
710,355,386,756
710,357,382,760
711,356,382,760
709,355,386,757
709,357,381,759
712,357,378,764
712,357,379,764
707,354,390,752
708,354,391,752
712,355,383,760
709,353,389,754
711,358,379,763
711,358,380,763
710,353,390,755
710,358,379,760
710,355,380,755
712,357,380,761
711,353,386,755
710,354,387,756
708,355,387,756
711,357,380,760
711,357,380,761
710,354,387,756
710,357,381,759
709,357,382,759
711,355,384,758
711,355,385,758
711,357,380,760
712,357,381,760
710,356,383,758
710,355,384,757
710,355,384,757
710,356,382,758
710,356,383,757
710,356,383,757
710,355,384,757
711,356,383,758
710,356,383,758
710,356,382,758
710,356,383,758
710,356,382,758
710,356,382,758
710,355,382,758
710,355,382,758
710,356,383,758
709,357,381,756
710,355,382,758
711,356,382,758
710,356,381,758
711,356,382,758
711,356,381,758
711,356,381,758
711,355,381,758
711,356,382,758
711,357,382,758
711,356,382,758
711,356,382,759
712,356,382,759
710,356,381,758
711,356,381,758
711,356,382,759
712,356,381,758
712,356,383,758
712,356,381,758
712,356,382,759
712,356,382,758
712,356,383,758
712,356,382,758
712,356,382,758
712,356,382,758
713,356,383,758
712,356,382,757
712,356,381,758
712,357,382,757
713,357,381,758
713,358,383,758
712,357,381,758
713,357,381,758
712,357,381,758
713,357,382,757
712,357,381,757
712,357,381,757
712,357,381,757
713,358,381,757
712,357,381,757
713,357,380,757
712,357,382,758
713,356,381,758
712,357,380,758
713,358,380,759
712,357,382,756
712,357,381,757
712,357,382,756
712,357,383,755
713,358,378,759
713,356,382,756
713,357,380,756
713,356,381,759
714,355,383,755
713,357,379,758
714,358,376,760
715,356,382,755
712,358,377,759
716,355,386,762
715,356,382,758
715,358,376,759
715,356,380,758
713,359,376,762
717,354,385,752
713,354,386,753
714,354,388,751
712,358,377,755
713,355,386,753
714,357,382,756
714,357,378,757
715,358,379,756
713,357,379,759
713,357,380,758
714,358,378,759
713,357,379,757
714,358,380,758
715,356,383,759
714,356,383,755
714,356,381,758
714,357,380,757
713,357,381,757
714,357,380,758
714,358,380,757
714,357,381,756
714,357,380,757
714,357,379,757
714,357,380,757
714,357,381,756
714,357,380,757
714,358,380,757
713,357,380,757
714,357,381,756
714,357,380,757
713,357,381,757
713,358,381,757
714,357,381,757
714,357,380,757
714,357,380,757
713,357,380,756
713,357,380,757
713,358,379,757
714,357,381,757
714,357,379,756
714,357,381,757
714,357,380,757
713,358,380,756
713,357,380,756
714,357,380,756
714,356,381,757
714,357,381,757
714,358,380,757
714,357,380,757
713,358,380,756
714,357,379,757
714,358,380,756
713,357,380,756
714,357,380,756
714,357,380,756
715,357,380,756
714,357,379,757
715,357,380,757
713,357,380,757
714,357,381,757
714,357,381,757
714,357,380,757
714,357,380,757
714,357,380,757
713,357,380,757
713,357,380,757
714,357,380,756
713,357,380,756
714,357,380,757
714,357,380,757
713,356,380,757
715,357,381,756
713,356,380,756
714,357,380,756
714,359,378,760
714,356,381,756
713,357,383,755
714,358,380,756
713,356,383,755
714,357,378,759
714,358,379,758
714,357,379,757
714,356,381,755
713,356,381,756
715,358,377,759
716,359,374,759
716,359,373,763
715,358,377,758
716,358,377,759
712,356,382,755
715,358,376,761
715,356,381,755
,,,,
719,358,379,745
719,359,379,746
719,357,384,744
716,353,391,737
716,356,386,739
717,361,374,749
722,362,370,755
722,362,370,754
717,355,390,738
717,356,386,741
721,359,376,750
722,360,377,748
718,359,380,748
720,361,376,751
722,358,378,750
720,355,385,743
717,356,388,741
720,362,375,750
719,358,381,747
720,358,380,748
720,358,382,747
719,358,381,747
720,358,381,748
719,358,382,748
719,358,382,747
719,358,380,749
720,358,382,749
719,358,381,748
719,358,382,748
719,359,381,749
719,359,381,749
719,358,381,749
720,358,381,749
719,358,381,749
719,358,381,749
720,358,381,749
719,358,381,750
719,359,380,749
719,358,382,749
719,358,381,749
719,358,382,750
719,359,381,749
719,358,382,749
720,358,382,749
720,357,381,749
720,359,380,750
719,358,382,750
719,358,381,750
720,359,380,751
719,358,382,750
719,358,381,750
719,358,381,750
719,358,381,751
719,358,381,750
720,357,381,750
720,358,382,751
719,358,381,750
721,358,382,751
720,357,381,752
719,357,382,751
720,358,382,751
720,358,381,751
720,358,382,751
720,358,382,751
719,358,382,751
720,358,381,752
719,359,383,751
720,358,381,753
719,358,382,752
720,358,381,752
720,358,380,752
720,358,382,752
719,358,382,753
719,358,382,753
720,358,382,752
719,358,381,753
720,357,381,753
720,359,382,753
719,358,382,753
720,357,381,753
718,358,384,751
719,358,383,752
719,357,384,751
719,358,382,752
720,359,379,756
720,356,383,753
719,356,384,752
721,359,379,757
719,359,381,755
720,359,380,757
721,359,380,757
720,357,383,758
721,358,381,756
721,356,384,754
720,360,378,756
720,359,380,755
719,358,384,753
720,357,384,754
720,361,378,758
722,362,374,762
722,356,380,755
718,354,391,748
716,357,388,749
720,359,375,760
721,358,379,758
720,355,387,753
718,355,383,753
718,359,382,755
722,360,378,759
721,356,377,758
718,355,389,749
722,361,375,760
720,355,385,751
719,358,380,755
719,358,381,754
720,357,382,754
719,358,381,754
720,358,380,754
719,359,381,756
720,358,381,755
720,359,381,755
720,358,380,754
720,357,380,755
721,358,380,755
720,357,381,754
720,359,381,755
719,358,381,754
720,358,380,754
719,358,381,755
720,358,380,754
719,358,381,754
719,359,381,754
720,359,380,755
721,358,382,754
720,358,380,754
719,358,381,754
720,358,380,755
720,359,380,755
720,358,380,755
720,358,379,753
719,359,380,753
720,357,381,754
720,358,380,755
720,358,380,753
720,358,380,754
719,358,380,753
720,358,380,754
720,358,380,754
720,357,381,753
719,358,380,753
721,358,381,753
719,358,381,753
720,358,380,753
720,358,381,753
720,358,380,753
719,358,381,753
720,358,380,752
720,359,381,751
719,358,381,752
720,358,380,751
720,358,381,751
719,358,380,752
720,358,380,752
720,358,381,752
720,358,381,752
720,358,380,752
719,358,380,751
720,358,381,751
720,358,380,751
720,359,380,750
720,358,381,751
