index,middle,ring,pinky
681,753,332,788
681,753,332,787
681,753,332,787
680,753,333,787
681,752,331,787
681,753,332,787
681,754,331,787
681,753,333,787
681,753,333,787
681,753,332,788
681,755,332,787
681,753,332,787
681,753,333,786
681,753,332,787
681,753,333,787
681,753,332,787
681,753,333,787
681,753,333,786
681,754,332,787
682,753,332,787
681,753,332,787
681,754,332,787
681,753,333,787
681,753,333,787
682,754,332,787
681,754,332,786
680,753,331,786
681,753,332,787
681,753,333,787
681,753,333,787
681,752,333,787
681,753,332,788
681,753,333,786
682,752,332,787
681,753,332,787
681,753,332,787
680,754,332,788
680,754,331,788
683,754,331,789
684,752,332,787
683,757,326,791
684,753,331,789
681,751,336,785
681,752,333,785
680,755,332,787
681,753,333,786
683,753,331,788
682,751,334,785
678,753,332,787
679,755,330,788
686,755,328,792
683,753,333,787
681,754,331,788
680,752,332,785
682,753,332,788
682,754,330,789
680,752,335,785
681,755,330,789
680,752,335,785
680,751,335,784
680,753,333,787
681,756,329,790
682,753,331,787
681,754,333,787
681,753,333,786
681,752,333,787
681,753,333,786
681,753,333,786
681,753,333,786
682,753,332,787
682,752,331,787
681,753,333,787
680,753,333,787
681,753,332,787
681,753,333,787
681,752,333,786
681,753,333,786
681,753,332,786
681,754,332,787
681,754,332,786
681,753,333,786
681,752,333,787
681,753,332,786
681,753,333,786
681,753,332,786
680,753,333,786
681,753,333,786
682,753,333,787
682,753,332,786
680,753,332,786
681,753,332,786
681,753,333,787
681,753,332,786
681,753,332,786
681,753,332,787
681,753,333,787
682,753,332,787
681,754,333,787
680,753,332,786
681,753,333,787
681,753,333,787
681,753,333,787
681,753,332,786
681,753,333,786
681,753,333,786
682,753,332,786
681,753,333,787
680,753,333,787
681,753,333,787
681,753,333,786
681,753,332,786
682,752,333,787
682,753,333,786
681,753,333,787
681,753,332,787
682,753,333,787
681,754,332,787
681,753,332,787
681,753,332,786
681,753,332,787
681,753,334,786
681,753,332,786
681,753,332,787
682,753,333,786
680,753,333,786
681,753,331,786
681,753,333,786
680,752,333,786
682,753,333,786
682,752,333,787
681,754,329,789
684,755,328,790
682,753,332,787
681,752,336,784
680,751,335,783
682,755,328,790
684,754,329,789
682,750,338,782
678,750,330,787
681,755,331,786
683,751,334,784
683,752,332,786
679,750,337,781
683,755,328,789
682,751,337,783
681,750,337,781
679,752,335,783
682,754,331,787
681,754,330,788
682,752,334,784
681,751,335,783
680,752,333,784
681,754,332,785
681,753,333,785
681,754,331,786
680,754,333,786
681,753,332,785
681,753,333,785
681,752,334,785
680,752,333,785
682,753,332,786
682,752,333,785
681,751,333,785
