ax,ay,az
0.22,0.6,0.39
0.68,-0.3,-1.03
0.01,-1.07,-1.27
-0.01,-0.12,-1.18
-0.02,-0.48,-1.1
-1.33,0.14,1.47
0.02,-0.2,-0.72
-0.09,0.34,0
0.2,-0.06,-0.03
0.39,-0.03,-0.27
0.32,3.22,-1.25
-0.27,1.07,-1.15
2.62,0.53,0.99
0.02,-3.63,-1.47
1.66,-0.21,2.21
0.4,-1.8,1.11
-6.61,0.33,-2.17
-1.02,0.89,-0.68
-1.02,0.89,-0.68
-1.02,0.89,-0.68
1.17,2.34,-0.53
1.17,2.34,-0.53
1.17,2.34,-0.53
1.17,2.34,-0.53
4.1,0.51,5.82
4.1,0.51,5.82
4.1,0.51,5.82
4.1,0.51,5.82
5.22,-1.88,13.52
5.22,-1.88,13.52
5.22,-1.88,13.52
6.91,0.14,14.15
6.91,0.14,14.15
6.91,0.14,14.15
6.91,0.14,14.15
6.91,0.14,14.15
6.91,0.14,14.15
12.16,0.2,9.88
12.16,0.2,9.88
12.16,0.2,9.88
12.16,0.2,9.88
12.16,0.2,9.88
12.16,0.2,9.88
10.73,-2.04,10.94
10.73,-2.04,10.94
10.73,-2.04,10.94
10.73,-2.04,10.94
6.51,-1.45,9.13
6.51,-1.45,9.13
6.51,-1.45,9.13
,,
0.68,-0.3,-1.03
0.01,-1.07,-1.27
-0.01,-0.12,-1.18
-0.02,-0.48,-1.1
-1.33,0.14,1.47
0.02,-0.2,-0.72
-0.09,0.34,0
0.2,-0.06,-0.03
0.39,-0.03,-0.27
0.32,3.22,-1.25
-0.27,1.07,-1.15
2.62,0.53,0.99
0.02,-3.63,-1.47
1.66,-0.21,2.21
0.4,-1.8,1.11
-6.61,0.33,-2.17
-1.17,-3.52,-4.5
7.38,-3.18,8.89
7.38,-3.18,8.89
7.38,-3.18,8.89
7.38,-3.18,8.89
6.07,-1.69,6.11
6.07,-1.69,6.11
6.07,-1.69,6.11
6.07,-1.69,6.11
6.07,-1.69,6.11
6.07,-1.69,6.11
6.31,-0.69,3.86
6.31,-0.69,3.86
6.31,-0.69,3.86
6.31,-0.69,3.86
6.31,-0.69,3.86
5.61,-2.02,1.66
5.61,-2.02,1.66
5.61,-2.02,1.66
5.61,-2.02,1.66
3.07,-0.5,3.18
3.07,-0.5,3.18
3.07,-0.5,3.18
3.07,-0.5,3.18
1.14,-0.19,4.16
1.14,-0.19,4.16
1.14,-0.19,4.16
1.14,-0.19,4.16
0.55,-0.2,3.65
0.55,-0.2,3.65
0.55,-0.2,3.65
0.55,-0.2,3.65
0.55,-0.2,3.65
-0.11,-0.29,3.27
,,
-0.01,-0.12,-1.18
-0.02,-0.48,-1.1
-1.33,0.14,1.47
0.02,-0.2,-0.72
-0.09,0.34,0
0.2,-0.06,-0.03
0.39,-0.03,-0.27
0.32,3.22,-1.25
-0.27,1.07,-1.15
2.62,0.53,0.99
0.02,-3.63,-1.47
1.66,-0.21,2.21
0.4,-1.8,1.11
-6.61,0.33,-2.17
-1.17,-3.52,-4.5
0.86,0.11,3.35
-6.53,-1.42,-7.83
-0.18,-1.81,-1.44
-0.18,-1.81,-1.44
-0.18,-1.81,-1.44
-0.18,-1.81,-1.44
0.51,-1.77,-2.1
0.51,-1.77,-2.1
0.51,-1.77,-2.1
0.51,-1.77,-2.1
0.14,-2.07,-2.31
0.14,-2.07,-2.31
0.14,-2.07,-2.31
0.14,-2.07,-2.31
0.73,2.7,2.03
0.73,2.7,2.03
0.73,2.7,2.03
0.73,2.7,2.03
3.93,1.88,1.62
3.93,1.88,1.62
3.93,1.88,1.62
3.93,1.88,1.62
3.93,1.88,1.62
4.63,-1.04,2.82
4.63,-1.04,2.82
4.63,-1.04,2.82
4.63,-1.04,2.82
4.63,-1.04,2.82
7.31,-1.99,16.58
7.31,-1.99,16.58
7.31,-1.99,16.58
7.31,-1.99,16.58
7.31,-1.99,16.58
10.54,-0.22,13.85
10.54,-0.22,13.85
,,
-0.02,-0.48,-1.1
-1.33,0.14,1.47
0.02,-0.2,-0.72
-0.09,0.34,0
0.2,-0.06,-0.03
0.39,-0.03,-0.27
0.32,3.22,-1.25
-0.27,1.07,-1.15
2.62,0.53,0.99
0.02,-3.63,-1.47
1.66,-0.21,2.21
0.4,-1.8,1.11
-6.61,0.33,-2.17
-1.17,-3.52,-4.5
0.86,0.11,3.35
-6.53,-1.42,-7.83
11.03,-1.86,7.6
0.61,1.18,2.95
0.61,1.18,2.95
1.21,0.58,2.8
1.21,0.58,2.8
1.21,0.58,2.8
1.21,0.58,2.8
-0.18,1.17,0.14
-0.18,1.17,0.14
-0.18,1.17,0.14
-0.18,1.17,0.14
-0.18,1.17,0.14
-1.23,2.32,0.53
-1.23,2.32,0.53
-1.23,2.32,0.53
-1.23,2.32,0.53
-1.23,2.32,0.53
-1.23,2.32,0.53
-0.57,1.03,-2.53
-0.57,1.03,-2.53
-0.57,1.03,-2.53
-0.57,1.03,-2.53
-1.63,-0.92,-3.08
-1.63,-0.92,-3.08
-1.63,-0.92,-3.08
-1.63,-0.92,-3.08
-2.99,-2.34,-5.43
-2.99,-2.34,-5.43
-2.99,-2.34,-5.43
-2.99,-2.34,-5.43
-2.84,-2.07,-7.94
-2.84,-2.07,-7.94
-2.84,-2.07,-7.94
-2.84,-2.07,-7.94
,,
-1.33,0.14,1.47
0.02,-0.2,-0.72
-0.09,0.34,0
0.2,-0.06,-0.03
0.39,-0.03,-0.27
0.32,3.22,-1.25
-0.27,1.07,-1.15
2.62,0.53,0.99
0.02,-3.63,-1.47
1.66,-0.21,2.21
0.4,-1.8,1.11
-6.61,0.33,-2.17
-1.17,-3.52,-4.5
0.86,0.11,3.35
-6.53,-1.42,-7.83
11.03,-1.86,7.6
-7.03,-1.71,-4.95
4.09,1.52,6.36
4.88,-0.16,10.25
4.88,-0.16,10.25
4.88,-0.16,10.25
4.88,-0.16,10.25
4.88,-0.16,10.25
4.88,-0.16,10.25
7.35,-0.6,13.31
7.35,-0.6,13.31
7.35,-0.6,13.31
7.35,-0.6,13.31
3.49,-0.99,9.92
3.49,-0.99,9.92
3.49,-0.99,9.92
3.49,-0.99,9.92
2.61,2.16,5.15
2.61,2.16,5.15
2.61,2.16,5.15
4.51,0,1.56
4.51,0,1.56
4.51,0,1.56
4.51,0,1.56
4.51,0,1.56
4.51,0,1.56
4.53,0.43,2.25
4.53,0.43,2.25
4.53,0.43,2.25
4.53,0.43,2.25
4.53,0.43,2.25
2.86,0.38,4.45
2.86,0.38,4.45
2.86,0.38,4.45
2.86,0.38,4.45
