ax,ay,az
-0.47,1.85,0.15
-0.29,1.89,0.3
-0.35,1.67,0.32
-0.62,1.9,0.48
-0.95,2.27,0.75
-1.48,2.34,0.78
-1.45,2.11,0.84
-1.22,1.95,0.9
-2.09,1.36,0.4
-0.38,0.91,0.24
0.81,0.83,0
-0.15,-0.52,-1.02
-0.22,-0.7,-2.77
1.1,-1.37,-5.3
0.47,-1.03,-6.72
0.56,-0.46,-7.15
0.36,-4.75,-8.21
4.35,-7.95,-10.34
8.7,-17.64,-12.98
18.97,-46.16,-15.58
20.8,-48.13,-13.47
20.74,-48.16,-11.9
15.69,-48.43,-10.12
-9.25,-48.63,-6.59
-20.69,-48.73,-7.01
-29.5,-48.65,-9.42
-35.74,-39.53,-19.65
-34.53,-20.87,-23.66
-33.38,0.14,-24.83
-32.25,24.68,-24.28
-31.26,24.3,-18.85
-30.43,24.96,-3.4
-29.84,26.23,12.39
-29.52,11.6,7.78
-27.9,10.79,-2.17
-22.4,8.5,-1.4
-28.54,2.13,10.23
-24.07,8.3,11.81
-16.95,8.78,3.77
-16.24,13.13,-1.6
-14.28,14.23,-1.65
-11.98,13.08,-1
-6.37,7.92,-0.99
-3.45,4.53,-0.6
-1.08,1.85,0.11
0.84,0.59,0.79
2.41,-0.74,1.8
2.65,-0.82,2.03
2.51,-1.21,2.02
2.06,-2.64,1.78
,,
1.09,-0.9,-0.05
1.22,-0.69,0.25
0.96,-0.16,0.06
0.72,0.38,-0.06
0.58,0.83,-0.16
0.56,0.66,-0.07
0.56,0.28,-0.05
0.62,-0.19,0.26
0.23,-0.98,0.18
0.29,-1.47,0.24
0.54,-1.42,0.32
0.7,-1.68,-0.11
1.18,-2.51,-0.41
1.05,-2.51,-0.51
1.07,-2.78,-0.64
2.15,-3.74,-0.97
2.84,-4.95,-1.38
4.03,-7.51,-2.18
7.43,-14.79,-3.95
10.09,-20.98,-5.34
12.97,-29.52,-6.6
15.78,-40.88,-7.58
15.3,-47.8,-3.22
6.42,-47.85,-0.04
-7.38,-48.09,4.12
-31.3,-48.42,7.56
-37.4,-48.73,4.39
-39.97,-48.89,-0.87
-38.61,-42.76,-17.47
-37.25,-29.98,-26.05
-35.88,-16.48,-33.18
-34.57,-6.14,-35.87
-33.43,14.54,-32.06
-32.43,21.98,-8.85
-31.46,21.22,2.5
-14.93,19.96,-15.27
-19.66,8.37,-25.33
-29.64,6.27,-20.43
-30.23,21.67,-7.87
-30.49,23.06,-5.62
-30.3,18.67,-3.57
-30.92,17.83,-2.38
-18.39,12.92,-1.83
-15.33,9.3,-4.01
-9.6,8.63,-4.46
-6.21,6.84,-3.18
-5,5.76,-1.99
-4.21,4.42,-0.53
-2.81,2.32,1.96
-2.53,1.17,2.73
,,
1.18,-1.91,-0.31
1.24,-1.67,0
0.72,-1.86,-0.17
0.85,-2.3,-0.02
0.8,-2.37,-0.12
0.73,-2.43,-0.25
0.68,-2.02,-0.07
0.78,-1.95,0.03
0.8,-2.44,-0.04
0.7,-3.08,-0.11
0.77,-3.75,0.43
0.57,-4.02,0.53
0.39,-4.26,0.57
0.7,-5.05,0.53
0.96,-5.87,0.34
1.45,-7.29,0.1
2.31,-11.78,-0.4
2.16,-14.94,-0.76
1.97,-18.81,-0.79
1.83,-27.57,-1.17
1.22,-31.56,-1.12
0.73,-33.83,-0.92
-0.46,-34.74,0.18
-5.14,-39.72,3.26
-8.52,-44.22,4.78
-12.03,-47.65,7.01
-21.39,-48.04,5.52
-27.25,-48.32,3.35
-33.94,-45.99,0.15
-41.05,-25.44,-12.84
-39.86,-14.82,-21.49
-36.08,-7.52,-29.4
-28.9,-1.92,-33.56
-23.46,4.84,-33.4
-24.84,9.85,-27.13
-32.62,24.83,-15.51
-31.95,32.78,-21.47
-25.51,26.73,-25.24
-22.54,30.9,-20.96
-22.8,20.7,-8.7
-15.21,19.16,-7.75
-14.9,15.13,-7.14
-14.14,12.78,-5.17
-10.85,11.39,-2.2
-10.08,10.19,-0.91
-10.08,10.19,-0.91
-5.98,4.1,3.2
-4.26,1.84,4.15
-4.21,0.52,4.97
-2.6,-1.07,4.93
,,
0.89,-2.48,0.2
0.58,-2.37,0.27
0.58,-2.35,0.37
0.61,-2.49,0.33
0.83,-2.28,0.37
1.28,-1.69,0.25
1.65,-1.57,-0.01
1.49,-1.26,0.15
0.32,-2.26,-0.98
-0.76,-3.25,-1.32
-2.16,-3.11,-0.91
-2.6,-3.11,0.05
-2.18,-4.36,0.18
-1.64,-5.17,0.09
-1.2,-5.97,-0.36
-0.12,-7.96,-0.85
0.16,-9.31,-0.64
0.15,-11.04,-0.14
0.82,-15.62,1.52
1.62,-18.6,1.74
2.12,-21.4,1.7
0.88,-25.56,2.22
-0.56,-27.57,3.9
-2.28,-30.08,5.6
-5.72,-33.51,6.4
-7.78,-35.27,5.91
-9.6,-38.09,4.72
-12.15,-39.92,2.77
-18.18,-37.58,-5.24
-20.33,-33.11,-10.11
-22.27,-27.67,-16.27
-23.58,-10.3,-27.24
-22.46,-2.43,-30.64
-21.06,1.47,-30.24
-24.03,8.41,-25.43
-28.12,9.9,-16.99
-33.36,6.73,11
-32.49,15.3,9.36
-12.82,15.82,2.16
-18.42,9.54,-4.89
-25.49,4.42,-1.48
-21.28,8.66,1.79
-20.6,9.65,1.81
-20.57,10.73,0.47
-18.8,11.88,-2.05
-16.17,12.19,-2.55
-13.17,11.12,-2.71
-9.2,9.07,-3.08
-3.62,5.27,-3.78
-1.82,4.37,-3.22
,,
1.44,-1.93,-0.15
1.25,-1.63,-0.15
0.55,-1.63,-0.07
0.32,-1.67,0.12
0,-1.84,0.43
-0.3,-2.1,0.66
-0.25,-3.13,1.23
0,-3.56,1.43
0,-4.15,1.32
0.1,-5.01,0.87
-0.12,-5.03,0.75
-0.52,-5.11,0.63
-1.33,-4.94,0.96
-1.98,-5.17,0.96
-1.98,-5.17,0.96
-1.45,-6.91,0.27
-0.21,-8.6,-0.58
0.03,-8.88,-0.4
-0.92,-9.26,-0.38
-1.84,-11.1,-0.46
-1.46,-13.98,-0.85
-0.5,-16.81,-1.09
1.04,-24.77,-1.5
0.8,-30.27,-1.29
-1.19,-35.36,-0.73
-3.54,-37.53,-0.51
-5.01,-37.51,-0.29
-7.15,-38.52,0.59
-9,-42.93,-0.3
-9,-42.93,-0.3
-15.48,-46.27,-12.08
-20.85,-42.21,-15.5
-36.44,-28.16,-20.36
-40.46,-19.94,-20.87
-40.46,-19.94,-20.87
-39.06,-11.3,-19.29
-33.69,1.33,-20.71
-32.6,9.4,-22.52
-33.92,14.97,-15.7
-33.92,14.97,-15.7
-33.74,21.12,-0.43
-23.57,28.42,-14.73
-18.64,18.85,-14.5
-18.6,17.69,-11.3
-18.6,17.69,-11.3
-14.76,14.09,-9.95
-12.52,10.89,-4.95
-15.44,13.57,-1.75
-17.42,15.26,0.87
-17.42,15.26,0.87
,,
0.74,-1.11,-0.15
-0.13,-1.24,-0.55
0,-1.09,-0.42
0,-0.94,-0.42
-0.07,-1.03,-0.44
0.37,-2.01,-0.57
0.49,-2.45,-0.64
0.63,-2.7,-0.76
1.04,-3.37,-0.82
1.14,-3.73,-0.91
1.05,-4,-0.85
0.63,-4.15,-0.59
0.51,-4.32,-0.42
0.35,-4.56,-0.26
0.24,-4.97,-0.11
1.04,-7.82,0.01
2.09,-10.88,-0.18
3.13,-14.3,-0.43
5.95,-25.28,-1.65
6.88,-32.92,-2.4
6.63,-40.6,-2.17
1.08,-46.19,0.56
-4.68,-46.44,3.92
-11.43,-46.34,9.34
-17.7,-45.6,14.06
-31.06,-47.28,10.7
-34.97,-46.09,5.51
-36.42,-43.49,-0.57
-40.04,-32.74,-13.7
-40.57,-21.35,-21.21
-36.16,-8.29,-27.69
-29.44,0,-34.66
-27.81,2.96,-34.82
-28.84,5.23,-33.01
-32.86,11.42,-32.43
-33.32,24.89,-22.32
-32.68,15.65,1.35
-32.05,10.53,12.87
-15.44,14.31,-6.49
-16.55,13,-10.45
-21.13,14.61,-6.07
-27.88,19.7,3.33
-25.67,17.27,2.68
-20.39,10.62,-1.12
-15.98,8.61,-2.95
-7.99,9.83,-4.56
-4.81,8.61,-4.68
-2.64,7.29,-3.45
-1.66,4.81,-1.37
-2.5,3.46,-0.59
,,
-0.55,-2.92,1.29
-0.53,-2.91,1.41
-0.07,-3.51,0.79
0.42,-3.76,0.48
0.68,-3.89,0.15
0.68,-3.89,0.15
0.7,-3.68,-0.3
0.49,-3.58,-0.35
0.09,-3.62,-0.36
-0.34,-3.5,-0.08
-0.34,-3.5,-0.08
-0.42,-3.74,0.06
-0.69,-5.68,0.07
-0.77,-6.69,0.12
-0.78,-7.74,0.26
-0.78,-7.74,0.26
-1.13,-10.43,0.31
-0.5,-14.74,0.28
-0.44,-17.61,0.1
-0.56,-23.31,-0.07
-0.56,-23.31,-0.07
-0.67,-26.71,-0.04
-0.43,-40.03,2.85
-3.28,-43.09,4.16
-6.89,-43.94,3.48
-6.89,-43.94,3.48
-15.23,-42.01,0.02
-22.03,-37.73,-4.63
-23.34,-33.61,-8.01
-30.91,-21.68,-16.82
-30.91,-21.68,-16.82
-32.01,-13.09,-20.2
-31.11,-4.26,-22.53
-25.52,4.62,-22.46
-28.78,11.42,-20.28
-28.78,11.42,-20.28
-32.43,17.48,-10.71
-30.22,13.02,0.96
-27.04,9.91,-6
-22.25,11.25,-8.44
-22.25,11.25,-8.44
-22.92,13.49,-5.13
-24.79,14.86,-3.86
-21.48,16.59,-0.76
-16.51,9.18,-3.05
-16.51,9.18,-3.05
-7.62,7.88,-2.34
-7.6,6.58,-2.29
-7.19,5.96,-1.35
-5.86,4.95,-0.71
,,
0.32,-1.94,0.67
0.35,-1.84,0.75
0.38,-1.99,0.79
0.42,-2.34,0.85
0.64,-2.92,0.77
0.57,-3.14,0.74
0.38,-3.46,0.61
0.67,-3.67,0.7
0.48,-4.15,0.86
0.34,-4.34,1.01
0.08,-4.5,1.07
-0.39,-4.36,1.16
-0.65,-4.3,1.13
-0.88,-4.41,1.22
-1.41,-5.14,1.08
-1.44,-5.67,1.08
-1.57,-6.74,1.01
-1.66,-8.16,0.91
-1.66,-11.4,0.85
-1.76,-13.08,0.88
-1.99,-14.99,0.77
-1.74,-19.66,0.27
-1.4,-22.47,0.26
-1.42,-25.48,0.26
-2.89,-29.88,0.43
-4.04,-31.25,1.48
-5.73,-31.73,3.37
-7.62,-34.03,4.2
-11.62,-40.73,2.75
-14.7,-42.42,0.91
-18.21,-41.93,-2.56
-25.04,-34.05,-11.56
-29.14,-27.01,-15.93
-32.19,-19.47,-20.38
-33.79,-5.77,-25
-30.7,1.23,-27.99
-27.27,7.7,-28.3
-26.46,12.39,-23.44
-33.9,31.37,9.05
-32.42,28.78,0.11
-19.54,21.34,-8.33
-22.02,10.33,-7.65
-19.39,10.55,-2.35
-16.93,11.29,-0.26
-19.17,11.26,2.13
-18.49,10.12,3.48
-17.46,9.87,4.65
-16.37,11.25,4.93
-13.91,8.95,3.17
-11.22,7.11,2.26
,,
0.42,-2.96,0.64
0.42,-2.96,0.64
0.44,-2.87,0.63
0.49,-3.18,0.61
0.55,-3.33,0.59
0.66,-3.84,0.62
0.66,-3.84,0.62
0.66,-4.1,0.59
0.51,-4.71,0.68
0.47,-5.07,0.59
0.69,-5.3,0.58
0.69,-5.3,0.58
0.65,-5.42,0.55
0.5,-5.96,0.36
0.5,-5.96,0.36
0.73,-6.71,0.39
1.09,-9.77,0.31
1.17,-11.4,0.4
1.13,-13.3,0.47
0.85,-17.82,0.38
0.62,-20.41,0.14
0.39,-23.58,0.1
-0.06,-27.16,0.17
-2.14,-33.57,0.85
-3.93,-35.96,2.33
-5.32,-38.32,4.09
-11.43,-42.23,4.21
-16.85,-42.12,3.45
-21.53,-42,1.92
-27.78,-36.79,-2.09
-30.63,-32.44,-4.33
-31.97,-27.02,-7.85
-32.57,-20.07,-11.46
-34.1,-5.43,-17.38
-32.87,0.58,-20.04
-29.91,5.19,-21.24
-25.32,11.28,-22.8
-24.53,11.02,-22.29
-28.86,11.14,-15.81
-30.36,4.4,-1.66
-30.13,0.93,5.17
-30.02,-0.53,7.75
-29.19,-0.87,2.36
-25.01,4.72,-3.15
-26.07,9.82,-1.54
-24.75,10.03,0.02
-17.83,8.99,0.04
-12.54,8.31,-0.51
-11.46,7.34,-0.92
-9.4,6.15,-1.14
,,
0.96,-6.69,-0.31
1.21,-6.69,0.01
1.1,-6.63,0.14
0.98,-6.59,0.12
0.88,-6.46,0.21
0.92,-6.48,0.14
0.87,-6.38,0.12
0.93,-6.31,0.2
0.98,-6.67,0.11
1.01,-6.86,0.06
0.94,-6.7,0.11
0.58,-6.28,0.09
0.39,-6.31,0.04
0.36,-6.65,0.01
0.35,-7.62,-0.09
0.43,-8.22,-0.18
0.63,-8.61,-0.32
0.75,-8.79,-0.42
0.46,-8.6,-0.87
0.43,-8.62,-0.73
0.09,-8.64,-0.38
-0.84,-10.2,0.53
-1.28,-11.18,1.48
-1.43,-12.3,2.51
-2.22,-15.64,4.47
-2.35,-17.96,5.41
-2.97,-20.2,5.83
-4.24,-22.29,6.22
-8.7,-25.15,7.06
-11.28,-25.71,7.55
-13.58,-25.64,8.44
-17.73,-24.45,7.58
-20.48,-23.35,6.78
-22.96,-21.05,4.99
-28.62,-9.64,-2.41
-30.19,-3.61,-7.3
-29.79,3.44,-11.5
-27.35,10.32,-15.7
-23.71,17.07,-21.73
-19.83,13.94,-21.09
-16.87,10.4,-19.6
-13.11,11.73,-3.45
-14.04,9.93,1.02
-16.1,7.19,-0.65
-18.07,-1.22,-0.27
-19.14,-1.82,2.13
-21.37,0.28,4.72
-23.22,2.6,5.83
-22.89,7.39,5.27
-21.35,9.07,6.49
,,
0.92,-6.48,0.14
0.87,-6.38,0.12
0.93,-6.31,0.2
0.98,-6.67,0.11
1.01,-6.86,0.06
0.94,-6.7,0.11
0.58,-6.28,0.09
0.39,-6.31,0.04
0.36,-6.65,0.01
0.35,-7.62,-0.09
0.43,-8.22,-0.18
0.63,-8.61,-0.32
-0.2,-5.82,1.27
-0.2,-5.82,1.27
0.1,-6.92,1.32
0.23,-7.18,1.3
0.37,-7.3,1.4
0.22,-7.26,1.42
0.11,-7.18,1.55
0.05,-7.71,1.5
0.1,-8.61,1.54
0.39,-10,1.63
0.78,-11.88,1.77
1.06,-16.42,1.77
1.03,-18.74,1.9
0.8,-20.85,1.89
-1.01,-22.85,1.53
-2.37,-23.1,1.65
-2.37,-23.1,1.65
-3.68,-23.33,1.94
-9.25,-25.75,4.82
-11.93,-26.63,6.03
-15.41,-27.1,6.75
-15.41,-27.1,6.75
-22.74,-28.14,4.35
-22.86,-27.86,2.24
-23.54,-21.66,-4.66
-23.08,-16.89,-8.79
-23.08,-16.89,-8.79
-22.07,-10.82,-13.43
-25.93,9.74,-22.29
-28.09,17.03,-23.47
-27.65,19.79,-20.15
-27.65,19.79,-20.15
-21.21,10.27,-0.62
-17.94,9.45,-2.76
-30.72,10.96,-5.97
-30.9,10.42,-3.44
-30.9,10.42,-3.44
-29.6,13.08,-0.76
,,
0.87,-6.38,0.12
0.93,-6.31,0.2
0.98,-6.67,0.11
1.01,-6.86,0.06
0.94,-6.7,0.11
0.58,-6.28,0.09
0.39,-6.31,0.04
0.36,-6.65,0.01
0.35,-7.62,-0.09
0.43,-8.22,-0.18
0.63,-8.61,-0.32
-0.2,-5.82,1.27
-0.2,-5.82,1.27
0.1,-6.92,1.32
0.23,-7.18,1.3
0.37,-7.3,1.4
1.08,-10.7,-0.05
1.39,-11.34,-0.15
1.89,-12.42,-0.24
2.61,-14.74,-0.31
2.72,-16.03,-0.45
2.77,-17.37,-0.4
2.47,-18.41,-0.3
0.95,-19.37,-0.38
0.02,-19.39,0.08
-1.3,-19.2,0.76
-3.67,-20.13,2.12
-4.55,-20.47,3.49
-5.77,-22.41,3.86
-8.58,-28.23,2.05
-9.39,-29.85,1.35
-10.83,-30.65,-0.14
-12.8,-30.02,-1.7
-17.86,-24.89,-5.42
-19.38,-21.07,-8.27
-19.67,-17.14,-10.9
-20.45,-8.85,-12.23
-21.23,-5.51,-12.76
-23.85,-1.07,-11.74
-30.19,5.39,-7.78
-31.5,12.82,-6.24
-27.2,18.35,-4.15
-25.29,12.23,-3.79
-26.73,11.17,-1.12
-25.54,10.64,0.96
-23.18,10.49,2.69
-20.11,7.73,4.07
-19.14,7.78,4.1
-17.71,7.49,3.82
-13.29,6.98,2.38
,,
0.93,-6.31,0.2
0.98,-6.67,0.11
1.01,-6.86,0.06
0.94,-6.7,0.11
0.58,-6.28,0.09
0.39,-6.31,0.04
0.36,-6.65,0.01
0.35,-7.62,-0.09
0.43,-8.22,-0.18
0.63,-8.61,-0.32
-0.2,-5.82,1.27
-0.2,-5.82,1.27
0.1,-6.92,1.32
0.23,-7.18,1.3
0.37,-7.3,1.4
1.08,-10.7,-0.05
1.7,-18.89,1.14
0.89,-19.42,1.19
-1.45,-19.38,1.32
-2.66,-19.12,1.73
-3.8,-18.6,2.46
-6.4,-19.49,3.85
-7.16,-21.08,4.32
-8.07,-23.16,4.39
-9.02,-24.33,4.16
-11.81,-24.64,2.26
-13.05,-24.09,1.13
-14.96,-22.59,-0.26
-18.33,-18.06,-4.65
-19.02,-15.73,-5.05
-19.62,-11.46,-6.52
-17.97,-2.87,-11.53
-16.54,1.47,-11.67
-17.33,6.33,-9.73
-20.27,9.58,-7.35
-29.27,13.84,4.05
-24.65,14.19,2.36
-19.25,13.9,0.23
-23.13,9.09,-0.51
-22.62,10.43,2.47
-20.45,11.19,4.49
-16.62,10.52,3.83
-14.74,9.67,3.07
-12.78,8.55,2.22
-10.96,7.71,1.72
-7.12,6.19,1.77
-6.46,5.34,1.6
-4.93,4.58,1.82
-3.35,3.4,1.86
-2.63,3.14,2.08
,,
1.65,-3.34,0.51
1.62,-3.18,0.45
1.63,-3.28,0.42
1.55,-3.27,0.36
1.57,-3.26,0.36
1.46,-3.29,0.37
1.56,-3.49,0.13
1.66,-3.8,0.06
1.72,-4.17,-0.06
2.02,-4.92,-0.38
2.09,-5.09,-0.51
2.18,-5.28,-0.65
2.12,-5.48,-1.04
1.96,-5.39,-1.2
1.85,-5.27,-1.41
1.82,-5.27,-1.57
1.77,-5.91,-1.98
1.93,-6.63,-2.27
2.24,-7.85,-2.55
3.21,-11.53,-3.34
3.58,-13.55,-3.72
3.75,-15.69,-4.18
3.56,-20.53,-5.12
3.5,-24.3,-4.92
3.4,-28.83,-3.46
3.13,-32.47,-0.01
-0.03,-41.27,4.63
-4.42,-44.45,5.72
-9.51,-46.39,6.25
-19.97,-45.8,2.74
-25.6,-42.38,-0.27
-30.32,-36.47,-5.78
-34.89,-17.47,-19.49
-32.96,-7.91,-22.26
-28.77,-2.41,-21.99
-25.59,2.04,-21.53
-34.08,10.34,-9.85
-32.89,7.73,-4.84
-30.11,17.66,-6.46
-27.49,12.51,-11.62
-31.42,10.52,-4.75
-31.5,13.61,0.87
-28.53,17.47,7.28
-26.42,17.24,7.38
-25.57,16.13,6.87
-21.94,14.35,5.28
-15.69,11.02,2.57
-12.58,9.69,1.18
-9.62,7.89,-0.12
-5.09,5.54,-1.51
,,
1.62,-2.5,-0.1
1.78,-2.61,-0.24
1.38,-2.66,-0.3
1.69,-3.04,-0.24
1.63,-3.11,-0.18
1.6,-3.16,-0.06
1.62,-3.3,-0.07
1.5,-3.26,0.06
1.5,-3.32,0.09
1.45,-3.5,0.09
1.69,-4.12,0
1.77,-4.39,0.01
1.85,-4.77,0.02
1.86,-5.61,0.04
1.44,-6.03,-0.06
1.35,-6.53,-0.07
1.52,-7.34,-0.68
1.82,-7.59,-0.85
2.07,-8.23,-1.23
2.47,-9.31,-1.61
3.14,-12.19,-2.97
3.38,-14.21,-3.57
4.15,-16.63,-3.94
4.62,-24.09,-5.32
4.01,-26.18,-6.1
3.95,-26.9,-4.97
0.86,-33.7,-2.58
-3.25,-33.7,0.7
-8.34,-32.85,4.58
-13.21,-34.53,8.12
-18.53,-39.76,9.57
-20.06,-41.05,7.74
-21.81,-41.37,4.19
-28.49,-32.67,-5.4
-31.09,-22.08,-10.32
-31.85,-9.79,-14.74
-28.81,5.14,-20.4
-24.99,3.64,-21.11
-23.94,-0.23,-19.16
-25.23,1.68,-15.33
-31.36,6.13,-3.9
-30.95,-0.35,13.72
-30.77,-6.37,16.88
-30.65,11.77,10.45
-30.83,16.66,8.9
-30.98,14.92,6.14
-25.39,16.31,5.13
-20.92,13.63,3.99
-17.74,10.41,1.38
-14.84,7.85,-0.67
,,
1.03,-3.87,0.82
1.34,-3.92,0.82
1.43,-4.1,0.88
1.43,-4.14,0.96
1.49,-4.16,0.98
1.58,-4.36,0.97
1.78,-4.88,0.82
1.78,-4.91,0.86
1.82,-5.02,0.81
1.69,-5.09,0.71
1.55,-5.01,0.63
1.46,-4.89,0.53
1.47,-4.93,0.45
1.87,-5.59,0.28
2.07,-6.07,0.31
2.14,-6.41,0.34
1.96,-6.83,0.37
1.91,-7.28,0.55
1.85,-7.9,0.75
1.99,-10.55,0.92
2.12,-12.3,0.99
2.1,-14.03,1.34
1.81,-16.16,1.55
1.32,-20.99,2.4
0.63,-22.62,3.67
-0.48,-24.7,4.81
-4.05,-30.23,5.58
-7.19,-31.11,5.85
-10.47,-30.93,5.93
-16.47,-29.16,4.73
-19.29,-28,3.35
-21.65,-27.21,1.82
-23.26,-25.57,-0.17
-25.2,-18.59,-6.42
-25.05,-13.47,-9.71
-24.47,-7.51,-12.74
-21.45,1.81,-15.68
-20.02,4.15,-16.79
-19.5,5.51,-16.73
-28.76,9.67,-5.94
-29.98,8.51,-2.02
-22.64,9.96,-4.56
-16.18,12.34,-2.46
-28.32,8.93,-0.88
-26.31,11.71,1.34
-26.32,11.66,1.86
-21.79,11.02,4.25
-19.67,10.34,4.29
-17.39,8.97,3.67
-12.74,6.29,3.08
,,
1.23,-3.66,0.53
0.77,-3.55,0.51
0.76,-3.46,0.48
1.09,-3.48,0.43
1.34,-3.8,0.36
1.28,-3.61,0.48
1.06,-3.63,0.59
0.63,-3.25,1.03
0.46,-3.05,1.29
0.38,-3.15,1.36
0.47,-3.44,1.4
0.57,-4.03,1.3
0.69,-4.45,1.35
0.93,-4.9,1.34
1.3,-5.73,1.09
1.37,-6.19,1.07
1.41,-6.61,1.09
1.12,-6.66,1.26
0.79,-6.55,1.56
0.56,-6.52,1.82
0.37,-6.9,2.09
0.1,-8.04,2.79
